기쁨,기쁜 일 공유하기,소셜미디어나 메신저로 오늘 있었던 기쁜 일을 지인들에게 알려 보세요.,dailydive_webapp/solution/기쁨_1.jpg
기쁨,순간을 기록하기,기쁨을 느꼈던 순간을 사진이나 영상으로 기록하고 간직해 보세요. 다음에도 되돌아보며 행복한 순간을 떠올려 볼 수 있게요. ,dailydive_webapp/solution/기쁨_2.jpg
기쁨,자신을 칭찬하기,"자기 어깨를 토닥이며 ""잘했어!"", ""자랑스러워!""라고 말해 보세요. 다른 사람에게 건넨 칭찬을 내게도 해주며 스스로 격려해 봅니다.",dailydive_webapp/solution/기쁨_3.jpg
슬픔,정리정돈하기,쾌적한 환경은 심리적인 안정을 가져다줍니다. 집이나 자주 쓰는 공간을 깔끔하게 치워 보세요.,dailydive_webapp/solution/슬픔_1.jpg
슬픔,허브티 한 잔하기,"허브에는 기분을 밝게 해주는 효능이 있어요. 특히, 라벤더, 레몬밤, 로즈마리가 우울한 기분에 좋대요.",dailydive_webapp/solution/슬픔_2.jpg
슬픔,족욕하기,40도 전후의 미지근한 물은 부교감신경을 자극해 정서적 안정감을 줘요. 20분 정도 족욕을 하며 아늑하게 휴식을 취해 보세요. ,dailydive_webapp/solution/슬픔_3.jpg
분노,잔잔한 음악 듣기,"Lo-Fi, 어쿠스틱, 앰비언트, 재즈와 같이 마음을 차분하고 간결하게 만들어 주는 음악을 들어보세요. ",dailydive_webapp/solution/분노_1.jpg
분노,심호흡하기,"숨을 깊게 들이마시고, 천천히 내쉽니다. 5-10분 정도 하고 나면, 마음이 안정되고 스트레스가 줄어든 것을 느낄 수 있어요.",dailydive_webapp/solution/분노_2.jpg
분노,오락실에 펀치하러 가기,"신체 활동은 스트레스 호르몬인 코르티솔을 낮추고, 기분 전환하는 데 도움이 됩니다. 오락실에서 쓸 현금 챙기는 것 잊지 마시고요. ",dailydive_webapp/solution/분노_3.jpg
당황,소셜 활동하기,"취미나 운동 동호회, 지역사회 활동을 해보시면 어떤가요? 비슷한 관심사를 가진 사람들이 모여 서로를 지원하고 격려하는 기회가 될 수 있거든요.",dailydive_webapp/solution/당황_1.jpg
당황,표현하기,"감정을 자연스럽게 표현하고 받아들여 보세요. 그림, 음악, 춤처럼 창작 활동으로 감정 표현을 해볼 수 있어요.",dailydive_webapp/solution/당황_2.jpg
당황,소통하기,"고통을 스스로 혼자 짊어지지 않고, 다른 사람들과 소통하며 지지받아 보세요. 지인과 대화, 전문가와 상담하는 것이 방법이 될 수 있어요.",dailydive_webapp/solution/당황_3.jpg
불안,대화하기,스마트폰 연락처에서 편하게 마음을 나눌 수 있는 상대를 찾아보세요. 지인에게 연락해서 지금 느끼는 감정을 나눠 보세요.,dailydive_webapp/solution/불안_1.jpg
불안,명상하기,조용한 공간을 찾아 10분간 눈을 감고 떠오르는 생각을 알아차려 보세요.,dailydive_webapp/solution/불안_2.jpg
불안,산책하기,자연 속에서 일상을 다시 회복할 힘과 위로를 얻어 보세요. ,dailydive_webapp/solution/불안_3.jpg
상처,여행가기,일상에서 벗어나 휴식과 재충전의 시간을 가져보세요. 여유로운 시간을 즐기다 보면 자연스레 정서적인 회복을 위한 힘을 얻게 됩니다. ,dailydive_webapp/solution/상처_1.jpg
상처,감정 받아들이기,지금 느끼는 감정을 부정하지 않고 인정하는 것에서부터 시작해 보세요. 감정의 파장이 더 크게 일어나지 않고 조절될 수 있어요.,dailydive_webapp/solution/상처_2.jpg
상처,아로마 테라피하기,좋아하는 향을 들이마시고 깊은 호흡을 해보세요. 이 시간만큼은 향에만 집중하고 어떻게 감정이 변화하는지 따라가 보세요.,dailydive_webapp/solution/상처_3.jpg
